127.0.0.1 - - [05/Dec/2016:20:45:03 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:22 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:34 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:35 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:43 -0200] "POST /Final/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:43 -0200] "GET /Final/index.jsp HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:43 -0200] "GET /Final/images/masculino.jpg HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:53 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:45:58 -0200] "POST /Final/AlterarUsuario HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:04 -0200] "POST /Final/sair.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:04 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:08 -0200] "POST /Final/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:08 -0200] "GET /Final/index.jsp HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:10 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5515
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:14 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:37 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:50 -0200] "POST /Final/GravarAlimento HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:52 -0200] "POST /Final/index.jsp HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:46:54 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4036
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:47:02 -0200] "POST /Final/GravarAlimentacao HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:47:04 -0200] "POST /Final/index.jsp HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:47:07 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5515
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:47:18 -0200] "POST /Final/AlterarUsuario HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [05/Dec/2016:20:47:19 -0200] "POST /Final/sair.jsp HTTP/1.1" 302 -
