127.0.0.1 - - [22/Oct/2016:17:47:16 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:29 -0200] "GET /Final/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:30 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:39 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:39 -0200] "GET /Final/css/estilo.css HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:39 -0200] "GET /Final/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:39 -0200] "GET /Final/images/logo2.png HTTP/1.1" 200 11211
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:40 -0200] "GET /Final/images/autentica64.png HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:40 -0200] "GET /Final/images/login24.png HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:40 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:40 -0200] "GET /Final/images/user.png HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:45 -0200] "POST /Final/autentica.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:45 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:45 -0200] "GET /Final/images/carl.jpg HTTP/1.1" 200 31039
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:46 -0200] "GET /Final/images/edit.png HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:46 -0200] "GET /Final/images/food2.png HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:46 -0200] "GET /Final/images/perfil2.png HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:55:48 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:56:07 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:56:12 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:56:13 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [22/Oct/2016:17:57:54 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:02 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:08 -0200] "GET /Final/sair.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:08 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:13 -0200] "POST /Final/autentica.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:13 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:15 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:17 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:08:49 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:09:00 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:09:05 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:09:10 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:09:12 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6858
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:09:13 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:11:54 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:13:32 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:15:57 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:20:41 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4493
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:21:00 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:21:42 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4415
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:22:21 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:22:58 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:22:59 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:46 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:48 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:48 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:48 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:48 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:49 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:49 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:51 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:53 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:57 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:23:58 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:24:07 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:24:33 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4480
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:25:02 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:25:16 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:26:03 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [22/Oct/2016:18:27:22 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 4464
